SRC	GEN	GOLD_TAG	PRED_TAG	SYS
<s>فالشركات<s>	<s>فالشركات<s>	UC	UC	NA
<s>الخاصة<s>	<s>الخاصة<s>	UC	UC	NA
<s>أرباحها<s>	<s>أرباحها<s>	UC	UC	NA
<s>عالية<s>	<s>عالية<s>	UC	UC	NA
<s>والحكومات<s>	<s>والحكومات<s>	UC	UC	NA
<s>الغربية<s>	<s>الغربية<s>	UC	UC	NA
<s>بشكل<s>	<s>بشكل<s>	UC	UC	NA
<s>عام<s>	<s>عام<s>	UC	UC	NA
<s>لا<s>	<s>لا<s>	UC	UC	NA
<s>تستطيع<s>	<s>تستطيع<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>تملي<s>	<s>تملي<s>	UC	UC	NA
<s>إرادتها<s>	<s>إرادتها<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>تلك<s>	<s>تلك<s>	UC	UC	NA
<s>الشركات<s>	<s>الشركات<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA

<s>اللهم<s>	<s>اللهم<s>	UC	UC	NA
<s>أنا<s>	<s>إنا<s>	OH	OH	CBR
<s>نسألك<s>	<s>نسألك<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>تلطف<s>	<s>تلطف<s>	UC	UC	NA
<s>بجميع<s>	<s>بجميع<s>	UC	UC	NA
<s>الناس<s>	<s>الناس<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>فتنة<s>	<s>فتنة<s>	UC	UC	NA
<s>لا<s>	<s>لا<s>	UC	UC	NA
<s>تيقي<s>	<s>تيقي<s>	OR	OR	OOV
<s>ولا<s>	<s>ولا<s>	UC	UC	NA
<s>تذر<s>	<s>تذر<s>	UC	UC	NA
<s>نسأل<s>	<s>نسأل<s>	UC	UC	NA
<s>الله<s>	<s>الله<s>	UC	UC	NA
<s>السلامة<s>	<s>السلامة<s>	UC	UC	NA
<s>وفي<s>	<s>وفي<s>	UC	UC	NA
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>الوقت<s>	<s>الوقت<s>	UC	UC	NA
<s>بالذات<s>	<s>بالذات<s>	UC	UC	NA
<s>الكل<s>	<s>الكل<s>	UC	UC	NA
<s>مدعو<s>	<s>مدعو<s>	UC	UC	NA
<s>لمزيد<s>	<s>لمزيد<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>التجرد<s>	<s>التجرد<s>	UC	UC	NA
<s>والابتعاد<s>	<s>والابتعاد<s>	UC	UC	NA
<s>عن<s>	<s>عن<s>	UC	UC	NA
<s>الانفعالات<s>	<s>الانفعالات<s>	UC	UC	NA
<s>التي<s>	<s>التي<s>	UC	UC	NA
<s>لا<s>	<s>لا<s>	UC	UC	NA
<s>تسمن<s>	<s>تسمن<s>	UC	UC	NA
<s>ولا<s>	<s>ولا<s>	UC	UC	NA
<s>تغنى<s>	<s>تغني<s>	OA	OA	CBR
<s>جوع<s>	<s>جوع<s>	UC	UC	NA
<s>والتصرف<s>	<s>والتصرف<s>	UC	UC	NA
<s>بروية<s>	<s>بروية<s>	UC	UC	NA
<s>مع<s>	<s>مع<s>	UC	UC	NA
<s>الآخذ<s>	<s>الأخذ<s>	OH	OH	CBR
<s>بالأسباب<s>	<s>بالأسباب<s>	UC	UC	NA
<s>التي<s>	<s>التي<s>	UC	UC	NA
<s>آدت<s>	<s>أدت<s>	MI	MI	CBR
<s>إلى<s>	<s>إلى<s>	UC	UC	NA
<s>وقوع<s>	<s>وقوع<s>	UC	UC	NA
<s>مثل<s>	<s>مثل<s>	UC	UC	NA
<s>هذه<s>	<s>هذه<s>	UC	UC	NA
<s>الكارثة<s>	<s>الكارثة<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>الجميع<s>	<s>الجميع<s>	UC	UC	NA

<s>المجرمة<s>	<s>المجرمة<s>	UC	UC	NA
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>وعد<s>	<s>وعد<s>	UC	UC	NA
<s>منا<s>	<s>منا<s>	UC	UC	NA
<s>لكل<s>	<s>لكل<s>	UC	UC	NA
<s>الشرفاء<s>	<s>الشرفاء<s>	UC	UC	NA
<s>والوطنيين<s>	<s>والوطنيين<s>	UC	UC	NA
<s>والأحرار<s>	<s>والأحرار<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>سورية<s>	<s>سورية<s>	UC	UC	NA
<s>أما<s>	<s>أما<s>	UC	UC	NA
<s>الخونة<s>	<s>الخونة<s>	UC	UC	NA
<s>والجبناء<s>	<s>والجبناء<s>	UC	UC	NA
<s>والخانعين<s>	<s>والخانعين<s>	UC	UC	NA
<s>فسنجعلهم<s>	<s>فسنجعلهم<s>	UC	UC	NA
<s>يدفعون<s>	<s>يدفعون<s>	UC	UC	NA
<s>الثمن<s>	<s>الثمن<s>	UC	UC	NA
<s>عاليا<s>	<s>عاليا<s>	UC	UC	NA
<s>لن<s>	<s>لأن<s>	OM	OM	CBR
<s>دماء<s>	<s>دماء<s>	UC	UC	NA
<s>شهدائنا<s>	<s>شهدائنا<s>	UC	UC	NA
<s>اللتي<s>	<s>التي<s>	OD	OD	CBR
<s>سالت<s>	<s>سالت<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>شوارع<s>	<s>شوارع<s>	UC	UC	NA
<s>سورية<s>	<s>سورية<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>آجل<s>	<s>أجل<s>	OH	OH	CBR
<s>الكرامة<s>	<s>الكرامة<s>	UC	UC	NA
<s>والحرية<s>	<s>والحرية<s>	UC	UC	NA
<s>لم<s>	<s>لم<s>	UC	UC	NA
<s>تكن<s>	<s>تكن<s>	UC	UC	NA
<s>تصل<s>	<s>تصل<s>	UC	UC	NA
<s>إلى<s>	<s>إلى<s>	UC	UC	NA
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>العدد<s>	<s>العدد<s>	UC	UC	NA
<s>الهائل<s>	<s>الهائل<s>	UC	UC	NA
<s>لولاء<s>	<s>لولا<s>	OD	OD	CBR
<s>جبن<s>	<s>جبن<s>	UC	UC	NA
<s>وخنوع<s>	<s>وخنوع<s>	UC	UC	NA
<s>هؤلاء<s>	<s>هؤلاء<s>	UC	UC	NA
<s>الرعاع<s>	<s>الرعاع<s>	UC	UC	NA

<s>وخاصة<s>	<s>وخاصة<s>	UC	UC	NA
<s>موقعة<s>	<s>موقعة<s>	UC	UC	NA
<s>الجمل<s>	<s>الجمل<s>	UC	UC	NA
<s>ولهذا<s>	<s>ولهذا<s>	UC	UC	NA
<s>نحن<s>	<s>نحن<s>	UC	UC	NA
<s>نرفض<s>	<s>نرفض<s>	UC	UC	NA
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>السيناريو<s>	<s>السيناريو<s>	UC	UC	NA
<s>لأننا<s>	<s>لأننا<s>	UC	UC	NA
<s>نريد<s>	<s>نريد<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>نجتث<s>	<s>نجتث<s>	UC	UC	NA
<s>النظام<s>	<s>النظام<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>جذوره<s>	<s>جذوره<s>	UC	UC	NA
<s>وكلما<s>	<s>وكلما<s>	UC	UC	NA
<s>تعنت<s>	<s>تعنت<s>	UC	UC	NA
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>النظام<s>	<s>النظام<s>	UC	UC	NA
<s>كلما<s>	<s>كلما<s>	UC	UC	NA
<s>كان<s>	<s>كان<s>	UC	UC	NA
<s>الثمن<s>	<s>الثمن<s>	UC	UC	NA
<s>اللذى<s>	<s>اللذى<s>	UNK	UNK	OOV
<s>سيدفعه<s>	<s>سيدفعه<s>	UC	UC	NA
<s>فادحا<s>	<s>فادحا<s>	UC	UC	NA
<s>ولهذا<s>	<s>ولهذا<s>	UC	UC	NA
<s>ادعوا<s>	<s>ادعوا<s>	UC	UC	NA
<s>معي<s>	<s>معي<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>يستمر<s>	<s>يستمر<s>	UC	UC	NA
<s>النظام<s>	<s>النظام<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>تعنته<s>	<s>تعنته<s>	UC	UC	NA
<s>لكي<s>	<s>لكي<s>	UC	UC	NA
<s>نتمتع<s>	<s>نتمتع<s>	UC	UC	NA
<s>بعد<s>	<s>بعد<s>	UC	UC	NA
<s>نجاح<s>	<s>نجاح<s>	UC	UC	NA
<s>الثورة<s>	<s>الثورة<s>	UC	UC	NA
<s>بتمريغ<s>	<s>بتمريغ<s>	UC	UC	NA
<s>آنفه<s>	<s>أنفه<s>	OH	OH	CBR
<s>في<s>	<s>في<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>طويلا<s>	<s>طويلا<s>	UC	UC	NA

<s>إلىالشبيحة<s>	<s>إلىالشبيحة<s>	MG	MG	OOV
<s>الموظفين<s>	<s>الموظفين<s>	UC	UC	NA
<s>لكتابة<s>	<s>لكتابة<s>	UC	UC	NA
<s>تعليقات<s>	<s>تعليقات<s>	UC	UC	NA
<s>لتشويه<s>	<s>لتشويه<s>	UC	UC	NA
<s>الحقيقة<s>	<s>الحقيقة<s>	UC	UC	NA
<s>هنا<s>	<s>هنا<s>	UC	UC	NA
<s>نقول<s>	<s>نقول<s>	UC	UC	NA
<s>لكم<s>	<s>لكم<s>	UC	UC	NA
<s>أن<s>	<s>إن<s>	OH	OH	CBR
<s>الدراهم<s>	<s>الدراهم<s>	UC	UC	NA
<s>المعدوة<s>	<s>المعدوة<s>	OM	OM	OOV
<s>التي<s>	<s>التي<s>	UC	UC	NA
<s>آخذتموها<s>	<s>آخذتموها<s>	OH	OH	OOV
<s>لتبرروا<s>	<s>لتبرروا<s>	UC	UC	NA
<s>القتل<s>	<s>القتل<s>	UC	UC	NA
<s>وتعذيب<s>	<s>وتعذيب<s>	UC	UC	NA
<s>الأطفال<s>	<s>الأطفال<s>	UC	UC	NA
<s>واغتصاب<s>	<s>واغتصاب<s>	UC	UC	NA
<s>النساء<s>	<s>النساء<s>	UC	UC	NA
<s>سوف<s>	<s>سوف<s>	UC	UC	NA
<s>تأخذكم<s>	<s>تأخذكم<s>	UC	UC	NA
<s>إلى<s>	<s>إلى<s>	UC	UC	NA
<s>جهنم<s>	<s>جهنم<s>	UC	UC	NA
<s>الدنيا<s>	<s>الدنيا<s>	UC	UC	NA
<s>قبل<s>	<s>قبل<s>	UC	UC	NA
<s>جهنم<s>	<s>جهنم<s>	UC	UC	NA
<s>الآخرة<s>	<s>الآخرة<s>	UC	UC	NA
<s>فمراكز<s>	<s>فمراكز<s>	UC	UC	NA
<s>الإنترنت<s>	<s>الإنترنت<s>	UC	UC	NA
<s>هذه<s>	<s>هذه<s>	UC	UC	NA
<s>التي<s>	<s>التي<s>	UC	UC	NA
<s>تعملون<s>	<s>تعملون<s>	UC	UC	NA
<s>بها<s>	<s>بها<s>	UC	UC	NA
<s>نعرفها<s>	<s>نعرفها<s>	UC	UC	NA
<s>جيدا<s>	<s>جيدا<s>	UC	UC	NA
<s>وإما<s>	<s>وأما<s>	OH	OH	CBR
<s>بخصوص<s>	<s>بخصوص<s>	UC	UC	NA
<s>الجزيرة<s>	<s>الجزيرة<s>	UC	UC	NA
<s>فأقول<s>	<s>فأقول<s>	UC	UC	NA
<s>هي<s>	<s>هي<s>	UC	UC	NA
<s>تؤلمكم<s>	<s>تؤلمكم<s>	UC	UC	NA
<s>وصراخكم<s>	<s>وصراخكم<s>	UC	UC	NA
<s>هنا<s>	<s>هنا<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>قدر<s>	<s>قدر<s>	UC	UC	NA
<s>الآلم<s>	<s>الألم<s>	OH	OH	CBR
<s>يا<s>	<s>يا<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>بعتم<s>	<s>بعتم<s>	UC	UC	NA
<s>ضميركم<s>	<s>ضميركم<s>	UC	UC	NA
<s>أيها<s>	<s>أيها<s>	UC	UC	NA
<s>الأبواق<s>	<s>الأبواق<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA

<s>البارحة<s>	<s>البارحة<s>	UC	UC	NA
<s>تم<s>	<s>تم<s>	UC	UC	NA
<s>القضاع<s>	<s>القضاع<s>	OR	OR	OOV
<s>على<s>	<s>على<s>	UC	UC	NA
<s>مجموعة<s>	<s>مجموعة<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الحمير<s>	<s>الحمير<s>	UC	UC	NA
<s>المندسين<s>	<s>المندسين<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>على<s>	<s>على<s>	SP	SP	OOV
<s>العالم<s>	<s>العالم<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>يرى<s>	<s>يرى<s>	UC	UC	NA
<s>بأم<s>	<s>بأم<s>	UC	UC	NA
<s>عينه<s>	<s>عينه<s>	UC	UC	NA
<s>تلك<s>	<s>تلك<s>	UC	UC	NA
<s>المجموعة<s>	<s>المجموعة<s>	UC	UC	NA
<s>الانتحارية<s>	<s>الانتحارية<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الحمير<s>	<s>الحمير<s>	UC	UC	NA
<s>التي<s>	<s>التي<s>	UC	UC	NA
<s>كانت<s>	<s>كانت<s>	UC	UC	NA
<s>تخطط<s>	<s>تخطط<s>	UC	UC	NA
<s>لزعزعة<s>	<s>لزعزعة<s>	UC	UC	NA
<s>آمن<s>	<s>أمن<s>	OH	OH	CBR
<s>الوطن<s>	<s>الوطن<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>تم<s>	<s>تم<s>	SP	SP	OOV
<s>التأكد<s>	<s>التأكد<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>خلال<s>	<s>خلال<s>	UC	UC	NA
<s>التحقيق<s>	<s>التحقيق<s>	UC	UC	NA
<s>معها<s>	<s>معها<s>	UC	UC	NA
<s>أنها<s>	<s>أنها<s>	UC	UC	NA
<s>لاتتكلم<s>	<s>لا تتكلم<s>	MG	MG	CBR
<s>العربية<s>	<s>العربية<s>	UC	UC	NA
<s>بل<s>	<s>بل<s>	UC	UC	NA
<s>أنها<s>	<s>أنها<s>	UC	UC	NA
<s>كانت<s>	<s>كانت<s>	UC	UC	NA
<s>تموه<s>	<s>تموه<s>	UC	UC	NA
<s>بكلامها<s>	<s>بكلامها<s>	UC	UC	NA
<s>بلغة<s>	<s>بلغة<s>	UC	UC	NA
<s>هي<s>	<s>هي<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>لهجة<s>	<s>لهجة<s>	UC	UC	NA
<s>محلية<s>	<s>محلية<s>	UC	UC	NA
<s>لدولة<s>	<s>لدولة<s>	UC	UC	NA
<s>معادية<s>	<s>معادية<s>	UC	UC	NA
<s>-<s>	<s>-<s>	PC	PC	OOV
<s>معركة<s>	<s>معركة<s>	UC	UC	NA
<s>الحمير<s>	<s>الحمير<s>	UC	UC	NA

<s>المجازر<s>	<s>المجازر<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>حق<s>	<s>حق<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>دليل<s>	<s>دليل<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>انهيار<s>	<s>انهيار<s>	UC	UC	NA
<s>نطام<s>	<s>نظام<s>	OR	OR	CBR
<s>الأسد<s>	<s>الأسد<s>	UC	UC	NA
<s>المرعوب<s>	<s>المرعوب<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>المحاكمات<s>	<s>المحاكمات<s>	UC	UC	NA
<s>التي<s>	<s>التي<s>	UC	UC	NA
<s>نهايتها<s>	<s>نهايتها<s>	UC	UC	NA
<s>الشنق<s>	<s>الشنق<s>	UC	UC	NA
<s>والإعدام<s>	<s>والإعدام<s>	UC	UC	NA
<s>لذلك<s>	<s>لذلك<s>	UC	UC	NA
<s>الأسد<s>	<s>الأسد<s>	UC	UC	NA
<s>يتمسك<s>	<s>يتمسك<s>	UC	UC	NA
<s>بالحياة<s>	<s>بالحياة<s>	UC	UC	NA
<s>أكبر<s>	<s>أكبر<s>	UC	UC	NA
<s>قد<s>	<s>قد<s>	OM	OM	OOV
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الوقت<s>	<s>الوقت<s>	UC	UC	NA
<s>وهذا<s>	<s>وهذا<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>حساب<s>	<s>حساب<s>	UC	UC	NA
<s>أرواح<s>	<s>أرواح<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>لذلك<s>	<s>لذلك<s>	UC	UC	NA
<s>لن<s>	<s>لن<s>	UC	UC	NA
<s>يمنع<s>	<s>يمنع<s>	UC	UC	NA
<s>القتل<s>	<s>القتل<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>حق<s>	<s>حق<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>إلا<s>	<s>إلا<s>	UC	UC	NA
<s>إذا<s>	<s>إذا<s>	UC	UC	NA
<s>تدخل<s>	<s>تدخل<s>	UC	UC	NA
<s>المجتمع<s>	<s>المجتمع<s>	UC	UC	NA
<s>الدولي<s>	<s>الدولي<s>	UC	UC	NA
<s>بالسلاح<s>	<s>بالسلاح<s>	UC	UC	NA
<s>لمنع<s>	<s>لمنع<s>	UC	UC	NA
<s>الآلة<s>	<s>الآلة<s>	UC	UC	NA
<s>العسكرية<s>	<s>العسكرية<s>	UC	UC	NA
<s>للجيش<s>	<s>للجيش<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>المتورط<s>	<s>المتورط<s>	XG	XG	OOV
<s>قياداته<s>	<s>قياداته<s>	UC	UC	NA

<s>اليست<s>	<s>أليست<s>	OH	OH	CBR
<s>جريمة<s>	<s>جريمة<s>	UC	UC	NA
<s>دولية<s>	<s>دولية<s>	OT	OT	OOV
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>يتخذ<s>	<s>يتخذ<s>	UC	UC	NA
<s>الإرهابيون<s>	<s>الإرهابيون<s>	UC	UC	NA
<s>الأحياء<s>	<s>الأحياء<s>	UC	UC	NA
<s>السكنية<s>	<s>السكنية<s>	UC	UC	NA
<s>المؤهوله<s>	<s>المؤهوله<s>	OT	OT	OOV
<s>بالعوائل<s>	<s>بالعوائل<s>	UC	UC	NA
<s>كرهائن<s>	<s>كرهائن<s>	UC	UC	NA
<s>و<s>	<s>و<s>	UC	UC	NA
<s>(<s>	<s>(<s>	UC	UC	NA
<s>دروع<s>	<s>دروع<s>	UC	UC	NA
<s>بشرية<s>	<s>بشرية<s>	OT	OT	OOV
<s>)<s>	<s>)<s>	UC	UC	NA
<s>أثناء<s>	<s>أثناء<s>	UC	UC	NA
<s>مهاجمة<s>	<s>مهاجمة<s>	UC	UC	NA
<s>الدولة<s>	<s>الدولة<s>	UC	UC	NA
<s>السورية<s>	<s>السورية<s>	UC	UC	NA
<s>وجيشها<s>	<s>وجيشها<s>	UC	UC	NA
<s>الوطني<s>	<s>الوطني<s>	UC	UC	NA
<s>؟<s>	<s>؟<s>	UC	UC	NA
<s>اليست<s>	<s>أليست<s>	OH	OH	CBR
<s>جريمة<s>	<s>جريمة<s>	UC	UC	NA
<s>اتخاذ<s>	<s>اتخاذ<s>	UC	UC	NA
<s>بيوت<s>	<s>بيوت<s>	UC	UC	NA
<s>الناس<s>	<s>الناس<s>	UC	UC	NA
<s>أوكارا<s>	<s>أوكارا<s>	UC	UC	NA
<s>لتصنيع<s>	<s>لتصنيع<s>	UC	UC	NA
<s>العبوات<s>	<s>العبوات<s>	UC	UC	NA
<s>وأطلاق<s>	<s>وإطلاق<s>	OH	OH	CBR
<s>النار<s>	<s>النار<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>الجهات<s>	<s>الجهات<s>	UC	UC	NA
<s>الرسمية<s>	<s>الرسمية<s>	UC	UC	NA
<s>وهم<s>	<s>وهم<s>	UC	UC	NA
<s>يعلمون<s>	<s>يعلمون<s>	UC	UC	NA
<s>أنهم<s>	<s>أنهم<s>	UC	UC	NA
<s>ي<s>	<s>ي<s>	SP	SP	OOV
<s>عرضون<s>	<s>عرضون<s>	SP	SP	OOV
<s>حياة<s>	<s>حياة<s>	UC	UC	NA
<s>الناس<s>	<s>الناس<s>	UC	UC	NA
<s>وممتلكاتهم<s>	<s>وممتلكاتهم<s>	UC	UC	NA
<s>للخطر<s>	<s>للخطر<s>	UC	UC	NA
<s>؟<s>	<s>؟<s>	UC	UC	NA

<s>يأرب<s>	<s>يارب<s>	OH	OH	CBR
<s>تقبل<s>	<s>تقبل<s>	UC	UC	NA
<s>شهدائنا<s>	<s>شهدائنا<s>	UC	UC	NA
<s>وصبر<s>	<s>وصبر<s>	UC	UC	NA
<s>آهلي<s>	<s>أهلي<s>	OH	OH	CBR
<s>صبرا<s>	<s>صبرا<s>	UC	UC	NA
<s>والله<s>	<s>والله<s>	UC	UC	NA
<s>لم<s>	<s>لم<s>	UC	UC	NA
<s>يبقى<s>	<s>يبقى<s>	MI	MI	OOV
<s>أي<s>	<s>أي<s>	UC	UC	NA
<s>مدينة<s>	<s>مدينة<s>	UC	UC	NA
<s>وقرية<s>	<s>وقرية<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>إلا<s>	<s>إلا<s>	UC	UC	NA
<s>ودخلت<s>	<s>ودخلت<s>	UC	UC	NA
<s>كتائب<s>	<s>كتائب<s>	UC	UC	NA
<s>العصابة<s>	<s>العصابة<s>	UC	UC	NA
<s>الأسدية<s>	<s>الأسدية<s>	UC	UC	NA
<s>لتحرير<s>	<s>لتحرير<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>أرضه<s>	<s>أرضه<s>	UC	UC	NA
<s>,<s>	<s>,<s>	PC	PC	OOV
<s>والله<s>	<s>والله<s>	UC	UC	NA
<s>لن<s>	<s>لن<s>	UC	UC	NA
<s>يحرر<s>	<s>يحرر<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>العصابة<s>	<s>العصابة<s>	UC	UC	NA
<s>الأسدي<s>	<s>الأسدي<s>	XG	XG	OOV
<s>سوا<s>	<s>سوى<s>	OA	OA	CBR
<s>نحن<s>	<s>نحن<s>	UC	UC	NA
<s>السوريين<s>	<s>السوريون<s>	XC	XC	CBR
<s>وإلا<s>	<s>ولا<s>	OD	OD	CBR
<s>بد<s>	<s>بد<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>دعم<s>	<s>دعم<s>	UC	UC	NA
<s>المجلس<s>	<s>المجلس<s>	UC	UC	NA
<s>الوطني<s>	<s>الوطني<s>	UC	UC	NA
<s>والجيش<s>	<s>والجيش<s>	UC	UC	NA
<s>الحر<s>	<s>الحر<s>	UC	UC	NA
<s>المنشق<s>	<s>المنشق<s>	UC	UC	NA
<s>بقيادة<s>	<s>بقيادة<s>	UC	UC	NA
<s>الأبطال<s>	<s>الأبطال<s>	UC	UC	NA

<s>أن<s>	<s>إن<s>	OH	OH	CBR
<s>العصابة<s>	<s>العصابة<s>	UC	UC	NA
<s>الأسدية<s>	<s>الأسدية<s>	UC	UC	NA
<s>تتشدق<s>	<s>تتشدق<s>	UC	UC	NA
<s>بالمقاومة<s>	<s>بالمقاومة<s>	UC	UC	NA
<s>والممانعة<s>	<s>والممانعة<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>حساب<s>	<s>حساب<s>	UC	UC	NA
<s>تجويع<s>	<s>تجويع<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>ونهب<s>	<s>ونهب<s>	UC	UC	NA
<s>ثرواته<s>	<s>ثرواته<s>	UC	UC	NA
<s>وهذا<s>	<s>وهذا<s>	UC	UC	NA
<s>حالها<s>	<s>حالها<s>	UC	UC	NA
<s>من40سنة<s>	<s>من40سنة<s>	MG	MG	OOV
<s>(<s>	<s>(<s>	UC	UC	NA
<s>تمسكن<s>	<s>تمسكن<s>	UC	UC	NA
<s>حتى<s>	<s>حتى<s>	UC	UC	NA
<s>أتمكن<s>	<s>أتمكن<s>	OD	OD	OOV
<s>)<s>	<s>)<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>وعندمااستنشق<s>	<s>وعندمااستنشق<s>	MG	MG	OOV
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>البطل<s>	<s>البطل<s>	UC	UC	NA
<s>الحرية<s>	<s>الحرية<s>	UC	UC	NA
<s>اتهموه<s>	<s>اتهموه<s>	UC	UC	NA
<s>بالمؤامرة<s>	<s>بالمؤامرة<s>	UC	UC	NA
<s>والخيانة<s>	<s>والخيانة<s>	UC	UC	NA
<s>والسلفيةويكأنهم<s>	<s>والسلفيةويكأنهم<s>	X	X	OOV
<s>حاميي<s>	<s>حاميي<s>	XN	XN	OOV
<s>الحمي<s>	<s>الحمى<s>	OA	OA	CBR
<s>وراعي<s>	<s>وراعي<s>	UC	UC	NA
<s>الأقليات<s>	<s>الأقليات<s>	UC	UC	NA
<s>!<s>	<s>!<s>	UC	UC	NA
<s>ولكن<s>	<s>ولكن<s>	UC	UC	NA
<s>الأهم<s>	<s>الأهم<s>	UC	UC	NA
<s>هو<s>	<s>هو<s>	UC	UC	NA
<s>الحذرمن<s>	<s>الحذرمن<s>	MG	MG	OOV
<s>قبل<s>	<s>قبل<s>	UC	UC	NA
<s>أخوتنافي<s>	<s>أخوتنافي<s>	X	X	OOV
<s>الوطن<s>	<s>الوطن<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الطائفة<s>	<s>الطائفة<s>	UC	UC	NA
<s>العلوية<s>	<s>العلوية<s>	UC	UC	NA
<s>ومحاولات<s>	<s>ومحاولات<s>	UC	UC	NA
<s>النظام<s>	<s>النظام<s>	UC	UC	NA
<s>الأسدي<s>	<s>الأسدي<s>	UC	UC	NA
<s>إيهامهم<s>	<s>إيهامهم<s>	UC	UC	NA
<s>إن<s>	<s>أن<s>	OH	OH	CBR
<s>بقائهم<s>	<s>بقائهم<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>مرتبط<s>	<s>مرتبط<s>	UC	UC	NA
<s>ببقائه<s>	<s>ببقائه<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>الحكم<s>	<s>الحكم<s>	UC	UC	NA
